,year,title,genre,avg_vote,movie_rating,duration,watchability
170,2005,Bigger Than the Sky,"Comedy, Drama, Romance",5.9,okay,106,really long movie
171,2005,"The Chronicles of Narnia: The Lion, the Witch and t","Adventure, Family, Fantasy",6.9,good,143,really long movie
172,2005,Lovesick,"Drama, Romance",3.4,okay,93,really long movie
173,2005,Le promeneur du Champ de Mars,"Biography, Drama",7.1,good,116,really long movie
174,2005,The Gingerdead Man,"Comedy, Fantasy, Horror",3.4,okay,70,avg length movie
175,2005,Neo Ned,"Drama, Romance",7.1,good,97,really long movie
176,2005,The Unknown,"Thriller, Action, Adventur",3.4,okay,85,avg length movie
177,2006,Whirlygirl,"Drama, Romance",5.8,okay,99,really long movie
178,2006,Art School Confidential,"Comedy, Drama, Romance",6.3,good,102,really long movie
179,2005,Dating Games People Play,"Comedy, Romance",5.0,okay,95,really long movie
180,2005,Man with the Screaming Brain,"Adventure, Comedy, Sci-Fi",5.6,okay,90,no data
181,2005,Las mantenidas sin sueños,"Comedy, Drama",6.9,good,97,really long movie
182,2005,The Matador,"Comedy, Crime, Thriller",6.7,good,96,really long movie
183,2005,Revolver,"Action, Crime, Drama",6.4,good,111,really long movie
184,2005,Syriana,"Drama, Thriller",6.9,good,128,really long movie
185,2006,Tenacious D in The Pick of Destiny,"Adventure, Comedy, Music",6.8,good,93,really long movie
186,2005,San wa,"Action, Adventure, Comedy",6.1,good,122,really long movie
187,2005,The Upside of Anger,"Comedy, Drama",6.8,good,118,really long movie
188,2006,Stalin,"Action, Drama",5.9,okay,168,really long movie
189,2005,Géminis,Drama,6.0,okay,85,avg length movie
190,2006,Happy Feet,"Animation, Adventure, Come",6.4,good,108,really long movie
191,2005,The Jacket,"Drama, Fantasy, Mystery",7.1,good,103,really long movie
192,2005,Lethal,"Action, Drama",2.5,bad,90,no data
193,2005,Mirrormask,"Adventure, Fantasy",6.8,good,101,really long movie
194,2006,Shortbus,"Comedy, Drama",6.4,good,101,really long movie
195,2005,Sorstalanság,"Drama, Romance, War",6.9,good,140,really long movie
196,2005,The Squid and the Whale,"Comedy, Drama",7.3,good,81,avg length movie
